fecha,nombre,tipo
2026-10-12,Diversidad Cultural,Feriado
2026-11-23,Soberanía Nacional (trasladado),Feriado
2026-12-07,Puente turístico,Turístico
2026-12-08,Inmaculada Concepción,Feriado
2026-12-25,Navidad,Feriado
2027-01-01,Año Nuevo,Feriado
2027-02-08,Carnaval,Feriado
2027-02-09,Carnaval,Feriado
2027-03-24,Día de la Memoria,Feriado
2027-03-26,Viernes Santo,Feriado
2027-04-02,Malvinas,Feriado
2027-05-01,Día del Trabajador,Feriado
2027-05-25,Revolución de Mayo,Feriado
2027-06-20,Belgrano,Feriado
2027-07-09,Independencia,Feriado
2027-12-08,Inmaculada Concepción,Feriado
2027-12-25,Navidad,Feriado
